arrival,departure,final_amount,commission_amount,status
2025-05-21,2025-05-25,720.0,108.0,OK
2025-05-21,2025-05-23,331.2,49.68,OK
2025-05-21,2025-05-23,288.0,43.2,OK
2025-05-22,2025-05-26,0.0,0.0,CANCELLED
2025-05-22,2025-05-26,806.4,120.96,OK
2025-05-23,2025-05-24,135.0,20.25,OK
2025-05-23,2025-05-24,135.0,20.25,OK
2025-05-23,2025-05-24,135.0,20.25,OK
2025-05-23,2025-05-24,155.25,23.2875,OK
2025-05-24,2025-05-26,375.84,56.376,OK
2025-05-24,2025-05-25,182.25,27.3375,OK
2025-05-24,2025-05-28,868.32,130.248,OK
2025-05-25,2025-05-26,168.75,25.3125,OK
2025-05-25,2025-05-28,544.32,81.648,OK
2025-05-26,2025-05-30,570.24,85.536,OK
2025-05-26,2025-05-27,162.0,24.3,OK
2025-05-26,2025-05-27,172.5,25.875,OK
2025-05-26,2025-05-27,155.25,23.2875,OK
2025-05-27,2025-05-28,168.75,25.3125,OK
2025-05-27,2025-05-31,725.76,108.864,OK
2025-05-27,2025-05-29,288.0,43.2,OK
2025-05-28,2025-05-30,403.2,60.48,OK
2025-05-28,2025-05-29,135.0,20.25,OK
2025-05-29,2025-05-31,0.0,0.0,CANCELLED
2025-05-29,2025-05-30,150.0,22.5,OK
2025-05-30,2025-05-31,0.0,0.0,CANCELLED
2025-05-30,2025-06-01,375.84,56.376,OK
2025-05-30,2025-06-01,427.68,64.152,OK
2025-05-30,2025-06-01,356.4,53.46,OK
2025-05-30,2025-06-01,375.84,56.376,OK
2025-05-31,2025-06-01,162.0,24.3,OK
2025-05-31,2025-06-01,175.5,26.325,OK
2025-06-01,2025-06-02,133.88,20.082,OK
2025-06-01,2025-06-02,153.0,22.95,OK
2025-06-01,2025-06-03,352.0,52.8,OK
2025-06-01,2025-06-02,201.96,30.294,OK
2025-06-02,2025-06-05,820.8,123.12,OK
2025-06-02,2025-06-03,153.0,22.95,OK
2025-06-02,2025-06-03,133.88,20.082,OK
2025-06-02,2025-06-04,316.8,47.52,OK
2025-06-03,2025-06-04,0.0,0.0,CANCELLED
2025-06-03,2025-06-05,367.2,55.08,OK
2025-06-03,2025-06-04,148.75,22.3125,OK
2025-06-03,2025-06-04,145.35,21.8025,OK
2025-06-04,2025-06-07,0.0,0.0,CANCELLED
2025-06-04,2025-06-07,0.0,0.0,CANCELLED
2025-06-04,2025-06-07,672.0,100.8,OK
2025-06-04,2025-06-06,0.0,0.0,CANCELLED
2025-06-04,2025-06-05,153.0,22.95,OK
2025-06-04,2025-06-05,168.3,25.245,OK
2025-06-05,2025-06-06,183.6,27.54,OK
2025-06-05,2025-06-06,133.88,20.082,OK
2025-06-06,2025-06-11,0.0,0.0,CANCELLED
2025-06-06,2025-06-07,170.0,25.5,OK
2025-06-07,2025-06-09,856.8,128.52,OK
2025-06-07,2025-06-08,237.15,35.5725,OK
2025-06-07,2025-06-10,723.6,108.54,OK
2025-06-08,2025-06-10,0.0,0.0,CANCELLED
2025-06-08,2025-06-15,0.0,0.0,CANCELLED
2025-06-08,2025-06-09,238.0,35.7,OK
2025-06-09,2025-06-13,907.2,136.08,OK
2025-06-09,2025-06-10,195.5,29.325,OK
2025-06-09,2025-06-11,360.0,54.0,OK
2025-06-10,2025-06-12,116.2957,17.4443,CANCELLED
2025-06-10,2025-06-11,290.7,43.605,OK
2025-06-10,2025-06-11,164.48,24.672,OK
2025-06-10,2025-06-12,352.8,52.92,OK
2025-06-11,2025-06-12,238.0,35.7,OK
2025-06-11,2025-06-12,263.5,39.525,OK
2025-06-11,2025-06-12,229.5,34.425,OK
2025-06-12,2025-06-13,290.7,43.605,OK
2025-06-12,2025-06-14,504.0,75.6,OK
2025-06-12,2025-06-15,0.0,0.0,CANCELLED
2025-06-12,2025-06-15,672.0,100.8,OK
2025-06-12,2025-06-14,0.0,0.0,CANCELLED
2025-06-13,2025-06-15,482.4,72.36,OK
2025-06-13,2025-06-14,198.9,29.835,OK
2025-06-13,2025-06-14,175.95,26.3925,OK
2025-06-13,2025-06-17,1062.0,159.3,OK
2025-06-14,2025-06-15,240.98,36.147,OK
2025-06-14,2025-06-16,560.0,84.0,OK
2025-06-14,2025-06-15,0.0,0.0,CANCELLED
2025-06-14,2025-06-15,272.0,40.8,OK
2025-06-15,2025-06-16,0.0,0.0,CANCELLED
2025-06-15,2025-06-17,0.0,0.0,CANCELLED
2025-06-15,2025-06-16,153.0,22.95,OK
2025-06-15,2025-06-16,187.0,28.05,OK
2025-06-15,2025-06-16,175.95,26.3925,OK
2025-06-16,2025-06-20,1071.0,160.65,OK
2025-06-16,2025-06-18,646.0,96.9,OK
2025-06-16,2025-06-19,768.84,115.326,OK
2025-06-16,2025-06-17,226.8,34.02,OK
2025-06-17,2025-06-18,226.8,34.02,OK
2025-06-18,2025-06-22,0.0,0.0,CANCELLED
2025-06-18,2025-06-20,428.4,64.26,OK
2025-06-19,2025-06-21,569.5,85.425,OK
2025-06-19,2025-06-22,1050.0,157.5,OK
2025-06-20,2025-06-22,428.4,64.26,OK
2025-06-20,2025-06-23,803.25,120.4875,OK
2025-06-20,2025-06-22,0.0,0.0,CANCELLED
2025-06-20,2025-06-21,0.0,0.0,CANCELLED
2025-06-20,2025-06-21,186.3,27.945,OK
2025-06-21,2025-06-23,646.0,96.9,OK
2025-06-21,2025-06-22,315.0,47.25,OK
2025-06-22,2025-06-25,0.0,0.0,CANCELLED
2025-06-22,2025-06-24,1190.0,178.5,OK
2025-06-22,2025-06-23,226.8,34.02,OK
2025-06-23,2025-06-26,780.3,117.045,OK
2025-06-23,2025-06-24,226.8,34.02,OK
2025-06-24,2025-06-26,654.5,98.175,OK
2025-06-24,2025-06-27,0.0,0.0,CANCELLED
2025-06-24,2025-06-25,222.75,33.4125,OK
2025-06-25,2025-06-27,569.5,85.425,OK
2025-06-25,2025-06-27,420.76,63.114,OK
2025-06-26,2025-06-29,0.0,0.0,CANCELLED
2025-06-26,2025-06-28,0.0,0.0,CANCELLED
2025-06-26,2025-06-27,210.6,31.59,OK
2025-06-26,2025-06-27,178.2,26.73,OK
2025-06-27,2025-06-28,0.0,0.0,CANCELLED
2025-06-27,2025-06-29,535.5,80.325,OK
2025-06-27,2025-06-29,476.0,71.4,OK
2025-06-27,2025-06-28,307.8,46.17,OK
2025-06-27,2025-06-28,382.5,57.375,OK
2025-06-27,2025-06-28,301.5,45.225,OK
2025-06-28,2025-06-30,481.96,72.294,OK
2025-06-28,2025-06-30,0.0,0.0,CANCELLED
2025-06-28,2025-07-02,0.0,0.0,CANCELLED
2025-06-28,2025-07-02,1214.1,182.115,OK
2025-06-29,2025-07-01,595.0,89.25,OK
2025-06-29,2025-07-01,428.4,64.26,OK
2025-06-30,2025-07-02,0.0,0.0,CANCELLED
2025-06-30,2025-07-01,202.5,30.375,OK
2025-06-30,2025-07-01,214.65,32.1975,OK
2025-06-30,2025-07-01,231.66,34.749,OK
2025-07-01,2025-07-02,280.0,42.0,OK
2025-07-01,2025-07-03,598.5,89.775,OK
2025-07-01,2025-07-02,301.5,45.225,OK
2025-07-02,2025-07-06,1108.8,166.32,OK
2025-07-02,2025-07-08,0.0,0.0,CANCELLED
2025-07-02,2025-07-04,0.0,0.0,CANCELLED
2025-07-02,2025-07-04,0.0,0.0,CANCELLED
2025-07-02,2025-07-05,748.44,112.266,OK
2025-07-02,2025-07-03,162.0,24.3,OK
2025-07-03,2025-07-08,1338.75,200.8125,OK
2025-07-03,2025-07-08,0.0,0.0,CANCELLED
2025-07-03,2025-07-08,0.0,0.0,CANCELLED
2025-07-03,2025-07-04,288.0,43.2,OK
2025-07-03,2025-07-04,198.0,29.7,OK
2025-07-03,2025-07-04,252.0,37.8,OK
2025-07-04,2025-07-06,478.8,71.82,OK
2025-07-04,2025-07-06,722.0,108.3,OK
2025-07-04,2025-07-06,0.0,0.0,CANCELLED
2025-07-05,2025-07-08,0.0,0.0,CANCELLED
2025-07-05,2025-07-06,230.0,34.5,OK
2025-07-05,2025-07-06,270.0,40.5,OK
2025-07-06,2025-07-08,572.86,85.929,OK
2025-07-06,2025-07-08,478.8,71.82,OK
2025-07-06,2025-07-08,598.5,89.775,OK
2025-07-06,2025-07-07,238.5,35.775,OK
2025-07-07,2025-07-10,0.0,0.0,CANCELLED
2025-07-07,2025-07-08,380.0,57.0,OK
2025-07-08,2025-07-12,1108.8,166.32,OK
2025-07-08,2025-07-11,739.2,110.88,OK
2025-07-08,2025-07-11,831.6,124.74,OK
2025-07-08,2025-07-11,902.88,135.432,OK
2025-07-08,2025-07-09,207.0,31.05,OK
2025-07-09,2025-07-12,884.4,132.66,OK
2025-07-09,2025-07-11,0.0,0.0,CANCELLED
2025-07-09,2025-07-10,224.1,33.615,OK
2025-07-10,2025-07-12,0.0,0.0,CANCELLED
2025-07-10,2025-07-13,0.0,0.0,CANCELLED
2025-07-10,2025-07-13,0.0,0.0,CANCELLED
2025-07-10,2025-07-11,0.0,0.0,CANCELLED
2025-07-10,2025-07-11,315.0,47.25,OK
2025-07-11,2025-07-12,252.0,37.8,OK
2025-07-11,2025-07-14,997.92,149.688,OK
2025-07-11,2025-07-15,0.0,0.0,CANCELLED
2025-07-11,2025-07-13,0.0,0.0,CANCELLED
2025-07-11,2025-07-14,0.0,0.0,CANCELLED
2025-07-12,2025-07-15,831.6,124.74,OK
2025-07-12,2025-07-13,650.0,97.5,OK
2025-07-12,2025-07-15,665.28,99.792,OK
2025-07-13,2025-07-17,1061.28,159.192,OK
2025-07-13,2025-07-17,997.92,149.688,OK
2025-07-14,2025-07-21,0.0,0.0,CANCELLED
2025-07-15,2025-07-18,0.0,0.0,CANCELLED
2025-07-15,2025-07-18,0.0,0.0,CANCELLED
2025-07-15,2025-07-17,722.0,108.3,OK
2025-07-16,2025-07-18,665.0,99.75,OK
2025-07-17,2025-07-18,283.5,42.525,OK
2025-07-17,2025-07-18,306.0,45.9,OK
2025-07-17,2025-07-20,795.96,119.394,OK
2025-07-17,2025-07-18,252.0,37.8,OK
2025-07-18,2025-07-22,985.6,147.84,OK
2025-07-18,2025-07-22,1108.8,166.32,OK
2025-07-18,2025-07-19,0.0,0.0,CANCELLED
2025-07-18,2025-07-20,1188.46,178.269,OK
2025-07-18,2025-07-20,665.0,99.75,OK
2025-07-20,2025-07-28,2142.0,321.3,OK
2025-07-20,2025-07-21,270.0,40.5,OK
2025-07-20,2025-07-21,398.7,59.805,OK
2025-07-21,2025-07-25,1061.28,159.192,OK
2025-07-21,2025-07-25,1124.64,168.696,OK
2025-07-21,2025-07-28,2034.9,305.235,OK
2025-07-21,2025-07-22,193.5,29.025,OK
2025-07-22,2025-07-24,598.5,89.775,OK
2025-07-22,2025-07-23,238.5,35.775,OK
2025-07-22,2025-07-23,252.0,37.8,OK
2025-07-23,2025-07-25,532.0,79.8,OK
2025-07-23,2025-07-24,238.5,35.775,OK
2025-07-24,2025-07-25,224.1,33.615,OK
2025-07-24,2025-07-25,224.1,33.615,OK
2025-07-25,2025-07-28,924.0,138.6,OK
2025-07-25,2025-07-26,0.0,0.0,CANCELLED
2025-07-25,2025-07-29,0.0,0.0,CANCELLED
2025-07-25,2025-07-28,0.0,0.0,CANCELLED
2025-07-25,2025-07-26,261.0,39.15,OK
2025-07-26,2025-07-27,335.0,50.25,OK
2025-07-26,2025-07-27,0.0,0.0,CANCELLED
2025-07-26,2025-07-27,283.5,42.525,OK
2025-07-27,2025-07-30,748.44,112.266,OK
2025-07-27,2025-07-28,211.5,31.725,OK
2025-07-27,2025-07-30,739.2,110.88,OK
2025-07-28,2025-07-30,718.2,107.73,OK
2025-07-28,2025-07-30,598.5,89.775,OK
2025-07-28,2025-08-01,0.0,0.0,CANCELLED
2025-07-28,2025-08-01,1061.28,159.192,OK
2025-07-29,2025-08-01,1016.4,152.46,OK
2025-07-30,2025-08-02,831.6,124.74,OK
2025-07-30,2025-08-01,649.8,97.47,OK
2025-07-31,2025-08-02,0.0,0.0,CANCELLED
2025-07-31,2025-08-04,0.0,0.0,CANCELLED
2025-07-31,2025-08-01,0.0,0.0,CANCELLED
2025-07-31,2025-08-01,0.0,0.0,CANCELLED
2025-08-01,2025-08-02,301.5,45.225,OK
2025-08-01,2025-08-05,0.0,0.0,CANCELLED
2025-08-01,2025-08-05,1337.6,200.64,OK
2025-08-01,2025-08-05,1232.0,184.8,OK
2025-08-01,2025-08-03,0.0,0.0,CANCELLED
2025-08-01,2025-08-04,831.6,124.74,OK
2025-08-01,2025-08-02,252.0,37.8,OK
2025-08-02,2025-08-09,2231.25,334.6875,OK
2025-08-02,2025-08-03,315.0,47.25,OK
2025-08-02,2025-08-03,252.0,37.8,OK
2025-08-03,2025-08-09,0.0,0.0,CANCELLED
2025-08-03,2025-08-05,0.0,0.0,CANCELLED
2025-08-03,2025-08-05,700.0,105.0,OK
2025-08-03,2025-08-04,320.0,48.0,OK
2025-08-04,2025-08-07,665.28,99.792,OK
2025-08-04,2025-08-07,0.0,0.0,CANCELLED
2025-08-04,2025-08-06,538.66,80.799,OK
2025-08-05,2025-08-07,554.4,83.16,OK
2025-08-05,2025-08-06,342.0,51.3,OK
2025-08-05,2025-08-07,598.5,89.775,OK
2025-08-06,2025-08-09,902.88,135.432,OK
2025-08-06,2025-08-10,997.92,149.688,OK
2025-08-07,2025-08-11,1232.0,184.8,OK
2025-08-07,2025-08-09,504.0,75.6,OK
2025-08-07,2025-08-08,315.0,47.25,OK
2025-08-08,2025-08-13,0.0,0.0,CANCELLED
2025-08-09,2025-08-11,649.8,97.47,OK
2025-08-09,2025-08-11,0.0,0.0,CANCELLED
2025-08-09,2025-08-10,0.0,0.0,CANCELLED
2025-08-09,2025-08-13,1061.28,159.192,OK
2025-08-09,2025-08-11,731.5,109.725,OK
2025-08-09,2025-08-10,252.0,37.8,OK
2025-08-09,2025-08-11,0.0,0.0,CANCELLED
2025-08-10,2025-08-11,252.0,37.8,OK
2025-08-10,2025-08-11,283.5,42.525,OK
2025-08-11,2025-08-12,342.0,51.3,OK
2025-08-11,2025-08-12,280.0,42.0,OK
2025-08-11,2025-08-12,315.0,47.25,OK
2025-08-11,2025-08-12,315.0,47.25,OK
2025-08-11,2025-08-14,831.6,124.74,OK
2025-08-12,2025-08-15,0.0,0.0,CANCELLED
2025-08-12,2025-08-16,1337.6,200.64,OK
2025-08-12,2025-08-14,1263.5,189.525,OK
2025-08-12,2025-08-13,252.0,37.8,OK
2025-08-13,2025-08-16,0.0,0.0,CANCELLED
2025-08-13,2025-08-14,301.5,45.225,OK
2025-08-13,2025-08-16,0.0,0.0,CANCELLED
2025-08-13,2025-08-16,665.28,99.792,OK
2025-08-14,2025-08-18,0.0,0.0,CANCELLED
2025-08-14,2025-08-18,1061.28,159.192,OK
2025-08-14,2025-08-16,598.5,89.775,OK
2025-08-14,2025-08-15,0.0,0.0,CANCELLED
2025-08-14,2025-08-17,748.44,112.266,OK
2025-08-14,2025-08-15,315.0,47.25,OK
2025-08-15,2025-08-19,1232.0,184.8,OK
2025-08-16,2025-08-17,0.0,0.0,CANCELLED
2025-08-16,2025-08-17,0.0,0.0,CANCELLED
2025-08-16,2025-08-17,0.0,0.0,CANCELLED
2025-08-16,2025-08-17,315.0,47.25,OK
2025-08-16,2025-08-17,420.0,63.0,OK
2025-08-16,2025-08-17,252.0,37.8,OK
2025-08-17,2025-08-19,665.0,99.75,OK
2025-08-17,2025-08-21,985.6,147.84,OK
2025-08-17,2025-08-18,342.0,51.3,OK
2025-08-18,2025-08-22,0.0,0.0,CANCELLED
2025-08-18,2025-08-21,748.44,112.266,OK
2025-08-18,2025-08-19,238.5,35.775,OK
2025-08-18,2025-08-19,342.0,51.3,OK
2025-08-19,2025-08-21,0.0,0.0,CANCELLED
2025-08-19,2025-08-20,238.5,35.775,OK
2025-08-19,2025-08-21,636.5,95.475,OK
2025-08-19,2025-08-20,238.5,35.775,OK
2025-08-19,2025-08-20,0.0,0.0,CANCELLED
2025-08-19,2025-08-20,342.0,51.3,OK
2025-08-19,2025-08-20,0.0,0.0,CANCELLED
2025-08-20,2025-08-23,924.0,138.6,OK
2025-08-20,2025-08-22,0.0,0.0,CANCELLED
2025-08-20,2025-08-23,831.6,124.74,OK
2025-08-21,2025-08-22,0.0,0.0,CANCELLED
2025-08-21,2025-08-23,538.66,80.799,OK
2025-08-21,2025-08-23,722.0,108.3,OK
2025-08-21,2025-08-24,884.4,132.66,OK
2025-08-21,2025-08-22,252.0,37.8,OK
2025-08-22,2025-08-25,0.0,0.0,CANCELLED
2025-08-22,2025-08-25,665.28,99.792,OK
2025-08-22,2025-08-23,342.0,51.3,OK
2025-08-23,2025-08-27,1108.8,166.32,OK
2025-08-23,2025-08-26,1663.2,249.48,OK
2025-08-23,2025-08-24,342.0,51.3,OK
2025-08-24,2025-08-26,572.86,85.929,OK
2025-08-24,2025-08-26,528.39,79.2585,OK
2025-08-25,2025-08-29,0.0,0.0,CANCELLED
2025-08-25,2025-08-26,280.0,42.0,OK
2025-08-25,2025-08-29,0.0,0.0,CANCELLED
2025-08-26,2025-08-30,0.0,0.0,CANCELLED
2025-08-26,2025-08-29,0.0,0.0,CANCELLED
2025-08-26,2025-08-28,0.0,0.0,CANCELLED
2025-08-26,2025-08-30,0.0,0.0,CANCELLED
2025-08-26,2025-08-27,238.5,35.775,OK
2025-08-26,2025-08-28,649.8,97.47,OK
2025-08-26,2025-08-27,252.0,37.8,OK
2025-08-26,2025-08-28,0.0,0.0,CANCELLED
2025-08-26,2025-08-27,0.0,0.0,CANCELLED
2025-08-27,2025-08-28,280.0,42.0,OK
2025-08-27,2025-08-29,538.66,80.799,OK
2025-08-28,2025-08-29,268.2,40.23,OK
2025-08-28,2025-08-31,1029.6,154.44,OK
2025-08-28,2025-08-29,260.0,39.0,OK
2025-08-28,2025-08-31,0.0,0.0,CANCELLED
2025-08-29,2025-08-31,0.0,0.0,CANCELLED
2025-08-29,2025-08-30,301.5,45.225,OK
2025-08-29,2025-08-31,649.8,97.47,OK
2025-08-30,2025-08-31,280.0,42.0,OK
